benchmark,variant,pass_order,flags,wat_size,wasm_size,runs,warmup_runs,p25_ms,median_ms,p75_ms,result
rt01-fib-recursive,baseline,inline-unroll-tail,"--pass-order=inline,unroll,tail",10243,612,5,1,20.574842499627266,20.918385998811573,20.94497249345295,75025
rt01-fib-recursive,baseline,inline-tail-unroll,"--pass-order=inline,tail,unroll",10243,612,5,1,20.619492497644387,21.027775001130067,21.643266998580657,75025
rt01-fib-recursive,baseline,unroll-inline-tail,"--pass-order=unroll,inline,tail",10243,612,5,1,20.36560099804774,20.796511002117768,20.919777001836337,75025
rt01-fib-recursive,baseline,unroll-tail-inline,"--pass-order=unroll,tail,inline",10243,612,5,1,20.433392004633788,21.432225999888033,21.91198150103446,75025
rt01-fib-recursive,baseline,tail-inline-unroll,"--pass-order=tail,inline,unroll",10243,612,5,1,20.86359349777922,21.32767801231239,21.515555497899186,75025
rt01-fib-recursive,baseline,tail-unroll-inline,"--pass-order=tail,unroll,inline",10243,612,5,1,20.619188995624427,21.17104100761935,21.501067494682502,75025
rt01-fib-recursive,no-inline,inline-unroll-tail,"--no-inline --pass-order=inline,unroll,tail",10243,612,5,1,20.85478150547715,21.01467399916146,21.195854009420145,75025
rt01-fib-recursive,no-inline,inline-tail-unroll,"--no-inline --pass-order=inline,tail,unroll",10243,612,5,1,20.260288001736626,20.78599100059364,21.173132001422346,75025
rt01-fib-recursive,no-inline,unroll-inline-tail,"--no-inline --pass-order=unroll,inline,tail",10243,612,5,1,20.71997350140009,20.76683400082402,21.001656998123508,75025
rt01-fib-recursive,no-inline,unroll-tail-inline,"--no-inline --pass-order=unroll,tail,inline",10243,612,5,1,20.52280099451309,20.853704001638107,21.067633002530783,75025
rt01-fib-recursive,no-inline,tail-inline-unroll,"--no-inline --pass-order=tail,inline,unroll",10243,612,5,1,21.000670501962304,21.50250499835238,21.827481003128923,75025
rt01-fib-recursive,no-inline,tail-unroll-inline,"--no-inline --pass-order=tail,unroll,inline",10243,612,5,1,20.471686504606623,20.714215002954006,20.983775502827484,75025
rt01-fib-recursive,unroll-4,inline-unroll-tail,"--unroll-factor=4 --pass-order=inline,unroll,tail",10243,612,5,1,20.85094449284952,21.385779007687233,21.62464700086275,75025
rt01-fib-recursive,unroll-4,inline-tail-unroll,"--unroll-factor=4 --pass-order=inline,tail,unroll",10243,612,5,1,20.499908503552433,20.99753200309351,21.9729779928457,75025
rt01-fib-recursive,unroll-4,unroll-inline-tail,"--unroll-factor=4 --pass-order=unroll,inline,tail",10243,612,5,1,20.798080491658766,21.4375969953835,21.963790495647117,75025
rt01-fib-recursive,unroll-4,unroll-tail-inline,"--unroll-factor=4 --pass-order=unroll,tail,inline",10243,612,5,1,20.53584100212902,20.748506009113044,21.32936149428133,75025
rt01-fib-recursive,unroll-4,tail-inline-unroll,"--unroll-factor=4 --pass-order=tail,inline,unroll",10243,612,5,1,20.468904491281137,20.744060995639302,21.060015496914275,75025
rt01-fib-recursive,unroll-4,tail-unroll-inline,"--unroll-factor=4 --pass-order=tail,unroll,inline",10243,612,5,1,20.285110498662107,20.72606199362781,21.03010350401746,75025
rt01-fib-recursive,unroll-8,inline-unroll-tail,"--unroll-factor=8 --pass-order=inline,unroll,tail",10243,612,5,1,20.53549049742287,20.930735001456924,21.326470996427815,75025
rt01-fib-recursive,unroll-8,inline-tail-unroll,"--unroll-factor=8 --pass-order=inline,tail,unroll",10243,612,5,1,20.96972900471883,21.608707000268623,21.789427002659068,75025
rt01-fib-recursive,unroll-8,unroll-inline-tail,"--unroll-factor=8 --pass-order=unroll,inline,tail",10243,612,5,1,20.741336003993638,21.35393800563179,21.383965002314653,75025
rt01-fib-recursive,unroll-8,unroll-tail-inline,"--unroll-factor=8 --pass-order=unroll,tail,inline",10243,612,5,1,20.814003495615907,21.52348999516107,21.86862499365816,75025
rt01-fib-recursive,unroll-8,tail-inline-unroll,"--unroll-factor=8 --pass-order=tail,inline,unroll",10243,612,5,1,20.734373494633473,21.23020800354425,21.579831503913738,75025
rt01-fib-recursive,unroll-8,tail-unroll-inline,"--unroll-factor=8 --pass-order=tail,unroll,inline",10243,612,5,1,20.06982250895817,20.470571995247155,21.88114599994151,75025
rt01-fib-recursive,tail-off,inline-unroll-tail,"--tail=off --pass-order=inline,unroll,tail",10243,612,5,1,20.382475006044842,20.729944997583516,21.633714495692402,75025
rt01-fib-recursive,tail-off,inline-tail-unroll,"--tail=off --pass-order=inline,tail,unroll",10243,612,5,1,20.436653001524974,20.57895899633877,21.162039003684185,75025
