benchmark,variant,pass_order,flags,wat_size,wasm_size,runs,warmup_runs,p25_ms,median_ms,p75_ms,result
rt01-fib-recursive,baseline,inline-unroll-tail,"--pass-order=inline,unroll,tail",10243,612,50,10,20.246695003152126,20.50078200409189,20.9847197511408,75025
rt01-fib-recursive,baseline,inline-tail-unroll,"--pass-order=inline,tail,unroll",10243,612,50,10,20.167019491054816,20.49506600451423,20.70259175161482,75025
rt01-fib-recursive,baseline,unroll-inline-tail,"--pass-order=unroll,inline,tail",10243,612,50,10,20.198453494231217,20.57884749956429,21.17059124429943,75025
rt01-fib-recursive,baseline,unroll-tail-inline,"--pass-order=unroll,tail,inline",10243,612,50,10,20.262695255951257,20.670035504736006,21.087899509439012,75025
rt01-fib-recursive,baseline,tail-inline-unroll,"--pass-order=tail,inline,unroll",10243,612,50,10,20.326190504420083,20.65476700227009,21.065739249024773,75025
rt01-fib-recursive,baseline,tail-unroll-inline,"--pass-order=tail,unroll,inline",10243,612,50,10,20.13506550429156,20.76906200090889,21.13664574790164,75025
rt01-fib-recursive,no-inline,inline-unroll-tail,"--no-inline --pass-order=inline,unroll,tail",10243,612,50,10,20.141069508099463,20.340520502941217,20.794036750885425,75025
rt01-fib-recursive,no-inline,inline-tail-unroll,"--no-inline --pass-order=inline,tail,unroll",10243,612,50,10,20.201770999847213,20.433607503946405,20.864621001237538,75025
rt01-fib-recursive,no-inline,unroll-inline-tail,"--no-inline --pass-order=unroll,inline,tail",10243,612,50,10,20.176662255835254,20.382244998472743,20.720537500892533,75025
rt01-fib-recursive,no-inline,unroll-tail-inline,"--no-inline --pass-order=unroll,tail,inline",10243,612,50,10,19.81922474806197,20.270672495826147,20.722693250718294,75025
rt01-fib-recursive,no-inline,tail-inline-unroll,"--no-inline --pass-order=tail,inline,unroll",10243,612,50,10,19.859720254316926,20.46242250071373,21.022975011874223,75025
rt01-fib-recursive,no-inline,tail-unroll-inline,"--no-inline --pass-order=tail,unroll,inline",10243,612,50,10,19.965293002314866,20.29334399412619,20.618104750610655,75025
rt01-fib-recursive,unroll-4,inline-unroll-tail,"--unroll-factor=4 --pass-order=inline,unroll,tail",10243,612,50,10,19.851805751386564,20.276273506169673,20.88762449056958,75025
rt01-fib-recursive,unroll-4,inline-tail-unroll,"--unroll-factor=4 --pass-order=inline,tail,unroll",10243,612,50,10,19.90267749715713,20.407419993716758,20.807765005883994,75025
rt01-fib-recursive,unroll-4,unroll-inline-tail,"--unroll-factor=4 --pass-order=unroll,inline,tail",10243,612,50,10,19.811136000498664,20.364649004477542,20.770461745996727,75025
rt01-fib-recursive,unroll-4,unroll-tail-inline,"--unroll-factor=4 --pass-order=unroll,tail,inline",10243,612,50,10,19.79892775125336,20.24384449759964,20.789207257621456,75025
rt01-fib-recursive,unroll-4,tail-inline-unroll,"--unroll-factor=4 --pass-order=tail,inline,unroll",10243,612,50,10,20.199276754283346,20.580221003910992,21.01526124533848,75025
rt01-fib-recursive,unroll-4,tail-unroll-inline,"--unroll-factor=4 --pass-order=tail,unroll,inline",10243,612,50,10,20.123211503232596,20.401731504534837,20.780761500645895,75025
rt01-fib-recursive,unroll-8,inline-unroll-tail,"--unroll-factor=8 --pass-order=inline,unroll,tail",10243,612,50,10,20.405293245858047,20.6979334980133,21.014160000049742,75025
rt01-fib-recursive,unroll-8,inline-tail-unroll,"--unroll-factor=8 --pass-order=inline,tail,unroll",10243,612,50,10,20.393002247146796,20.57901599619072,21.10343000094872,75025
rt01-fib-recursive,unroll-8,unroll-inline-tail,"--unroll-factor=8 --pass-order=unroll,inline,tail",10243,612,50,10,20.611865242244676,20.882508499198593,21.311485001206165,75025
rt01-fib-recursive,unroll-8,unroll-tail-inline,"--unroll-factor=8 --pass-order=unroll,tail,inline",10243,612,50,10,20.448190247407183,20.74540600006003,21.168418250454124,75025
rt01-fib-recursive,unroll-8,tail-inline-unroll,"--unroll-factor=8 --pass-order=tail,inline,unroll",10243,612,50,10,20.534734750981443,20.86404399597086,21.202535994234495,75025
rt01-fib-recursive,unroll-8,tail-unroll-inline,"--unroll-factor=8 --pass-order=tail,unroll,inline",10243,612,50,10,20.50592874729773,20.81141849339474,21.27882424974814,75025
rt01-fib-recursive,tail-off,inline-unroll-tail,"--tail=off --pass-order=inline,unroll,tail",10243,612,50,10,20.354598254925804,20.661855502112303,21.050720497441944,75025
rt01-fib-recursive,tail-off,inline-tail-unroll,"--tail=off --pass-order=inline,tail,unroll",10243,612,50,10,20.35874499779311,20.77257049677428,21.19791450968478,75025
rt01-fib-recursive,tail-off,unroll-inline-tail,"--tail=off --pass-order=unroll,inline,tail",10243,612,50,10,20.35763025196502,20.752304008055944,21.134261245606467,75025
rt01-fib-recursive,tail-off,unroll-tail-inline,"--tail=off --pass-order=unroll,tail,inline",10243,612,50,10,20.299643503676634,20.640839997213334,21.35498449933948,75025
rt01-fib-recursive,tail-off,tail-inline-unroll,"--tail=off --pass-order=tail,inline,unroll",10243,612,50,10,20.367913242807845,20.777594501851127,21.132987749297172,75025
rt01-fib-recursive,tail-off,tail-unroll-inline,"--tail=off --pass-order=tail,unroll,inline",10243,612,50,10,20.227999997587176,20.752474003529642,21.187834747252055,75025
rt01-fib-recursive,combo-inline-unroll,inline-unroll-tail,"--unroll-factor=4 --no-inline --pass-order=inline,unroll,tail",10243,612,50,10,20.410497509146808,20.711945006041788,21.057880996522726,75025
rt01-fib-recursive,combo-inline-unroll,inline-tail-unroll,"--unroll-factor=4 --no-inline --pass-order=inline,tail,unroll",10243,612,50,10,20.464488243305823,20.850799002801068,21.18347949362942,75025
rt01-fib-recursive,combo-inline-unroll,unroll-inline-tail,"--unroll-factor=4 --no-inline --pass-order=unroll,inline,tail",10243,612,50,10,20.257232750736875,20.645880002120975,21.014471003582003,75025
rt01-fib-recursive,combo-inline-unroll,unroll-tail-inline,"--unroll-factor=4 --no-inline --pass-order=unroll,tail,inline",10243,612,50,10,20.489594749960816,20.772622498043347,21.497118003026117,75025
rt01-fib-recursive,combo-inline-unroll,tail-inline-unroll,"--unroll-factor=4 --no-inline --pass-order=tail,inline,unroll",10243,612,50,10,20.4917047485651,20.85334050207166,21.271293251629686,75025
rt01-fib-recursive,combo-inline-unroll,tail-unroll-inline,"--unroll-factor=4 --no-inline --pass-order=tail,unroll,inline",10243,612,50,10,20.334009001089726,20.63983099651523,21.055649252957664,75025
rt02-tail-factorial,baseline,inline-unroll-tail,"--pass-order=inline,unroll,tail",12560,665,50,10,19.205337259336375,19.713168498128653,20.07072600463289,479001600
rt02-tail-factorial,baseline,inline-tail-unroll,"--pass-order=inline,tail,unroll",12560,665,50,10,19.308052254928043,19.621016006567515,20.036035504745087,479001600
rt02-tail-factorial,baseline,unroll-inline-tail,"--pass-order=unroll,inline,tail",12560,665,50,10,19.418829753703903,19.80336200358579,20.241863494447898,479001600
rt02-tail-factorial,baseline,unroll-tail-inline,"--pass-order=unroll,tail,inline",12560,665,50,10,19.24417374902987,19.80165400163969,20.23931124858791,479001600
rt02-tail-factorial,baseline,tail-inline-unroll,"--pass-order=tail,inline,unroll",12560,665,50,10,19.401456247578608,19.703166995896026,20.215453256241744,479001600
rt02-tail-factorial,baseline,tail-unroll-inline,"--pass-order=tail,unroll,inline",12560,665,50,10,19.479326001601294,19.616299498011358,20.1054102544731,479001600
rt02-tail-factorial,no-inline,inline-unroll-tail,"--no-inline --pass-order=inline,unroll,tail",12560,665,50,10,19.38549450278515,19.8606599951745,20.33303050120594,479001600
