benchmark,variant,pass_order,flags,wat_size,wasm_size,runs,warmup_runs,p25_ms,median_ms,p75_ms,result
rt01-fib-recursive,baseline,inline-unroll-tail,"--pass-order=inline,unroll,tail",10243,612,50,10,20.41884625214152,20.81028898828663,21.067631496407557,75025
rt01-fib-recursive,baseline,inline-tail-unroll,"--pass-order=inline,tail,unroll",10243,612,50,10,20.23679600461037,20.622775999072473,20.970892495824955,75025
rt01-fib-recursive,baseline,unroll-inline-tail,"--pass-order=unroll,inline,tail",10243,612,50,10,20.300046246120473,20.708313000795897,21.276851504808292,75025
rt01-fib-recursive,baseline,unroll-tail-inline,"--pass-order=unroll,tail,inline",10243,612,50,10,20.489450751483673,20.833806003793143,21.23189425765304,75025
rt01-fib-recursive,baseline,tail-inline-unroll,"--pass-order=tail,inline,unroll",10243,612,50,10,20.261164001567522,20.52872050262522,21.056244004284963,75025
rt01-fib-recursive,baseline,tail-unroll-inline,"--pass-order=tail,unroll,inline",10243,612,50,10,20.25846449760138,20.670030498877168,20.96787324990146,75025
rt01-fib-recursive,no-inline,inline-unroll-tail,"--no-inline --pass-order=inline,unroll,tail",10243,612,50,10,20.183018252282636,20.644049502152484,21.04449601029046,75025
rt01-fib-recursive,no-inline,inline-tail-unroll,"--no-inline --pass-order=inline,tail,unroll",10243,612,50,10,20.23518549685832,20.623176998924464,20.867951254331274,75025
rt01-fib-recursive,no-inline,unroll-inline-tail,"--no-inline --pass-order=unroll,inline,tail",10243,612,50,10,20.066951503395103,20.52310449653305,20.85304449792602,75025
rt01-fib-recursive,no-inline,unroll-tail-inline,"--no-inline --pass-order=unroll,tail,inline",10243,612,50,10,20.139309253863757,20.435518999875057,20.850986256846227,75025
rt01-fib-recursive,no-inline,tail-inline-unroll,"--no-inline --pass-order=tail,inline,unroll",10243,612,50,10,20.348650501546217,20.579603995429352,21.01883799332427,75025
rt01-fib-recursive,no-inline,tail-unroll-inline,"--no-inline --pass-order=tail,unroll,inline",10243,612,50,10,20.350586997665232,20.72833600686863,21.09565324644791,75025
rt01-fib-recursive,unroll-4,inline-unroll-tail,"--unroll-factor=4 --pass-order=inline,unroll,tail",10243,612,50,10,20.24277299642563,20.511767994321417,20.99781974538928,75025
rt01-fib-recursive,unroll-4,inline-tail-unroll,"--unroll-factor=4 --pass-order=inline,tail,unroll",10243,612,50,10,20.177578739094315,20.41009250388015,20.95097574783722,75025
rt01-fib-recursive,unroll-4,unroll-inline-tail,"--unroll-factor=4 --pass-order=unroll,inline,tail",10243,612,50,10,20.30041700345464,20.6195744976867,21.01315450272523,75025
rt01-fib-recursive,unroll-4,unroll-tail-inline,"--unroll-factor=4 --pass-order=unroll,tail,inline",10243,612,50,10,20.175359000859316,20.435375496163033,20.736897251481423,75025
rt01-fib-recursive,unroll-4,tail-inline-unroll,"--unroll-factor=4 --pass-order=tail,inline,unroll",10243,612,50,10,20.052189996931702,20.293175999540836,20.602068747393787,75025
rt01-fib-recursive,unroll-4,tail-unroll-inline,"--unroll-factor=4 --pass-order=tail,unroll,inline",10243,612,50,10,20.171868251054548,20.44054049474653,20.847384752414655,75025
rt01-fib-recursive,unroll-8,inline-unroll-tail,"--unroll-factor=8 --pass-order=inline,unroll,tail",10243,612,50,10,20.061780745891156,20.481114996073302,20.666881991928676,75025
